SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
507981,JINDAL HOTL ,XT,Q,21.40,21.40,19.70,21.35,21.40,20.70,24,609,12651.00,,INE726D01016,30-Oct-20,,
507998,SIMMONDS-MAR,X ,Q,34.50,36.85,33.40,34.25,33.70,35.65,23,1313,45062.00,,INE657D01021,30-Oct-20,,
508486,HAWKINS COOK,B ,Q,5054.10,5145.00,5050.00,5076.70,5050.00,5107.60,133,453,2302977.00,,INE979B01015,30-Oct-20,,
508807,IST LTD.    ,X ,Q,385.00,417.50,385.00,400.80,400.80,385.10,6,134,52006.00,,INE684B01029,30-Oct-20,,
508814,COSMO FILMS ,B ,Q,475.95,475.95,456.20,458.90,457.65,465.30,551,4428,2060505.00,,INE757A01017,30-Oct-20,,
508869,APOLLO HOSP.,A ,Q,2065.10,2143.70,2065.10,2119.25,2122.20,2087.30,3546,40029,84681290.00,,INE437A01024,30-Oct-20,,
508906,EVEREST INDS,B ,Q,223.05,223.30,215.90,221.10,221.10,220.70,159,1441,318572.00,,INE295A01018,30-Oct-20,,
508918,GREYCELLS   ,X ,Q,29.95,29.95,29.95,29.95,29.95,28.55,1,25,748.00,,INE791H01011,30-Oct-20,,
508922,MSR INDIA   ,XT,Q,13.30,13.30,12.65,13.03,13.03,13.30,14,3005,38225.00,,INE331L01026,30-Oct-20,,
508933,AYMSYNTEX   ,B ,Q,27.70,28.20,27.00,27.25,27.25,28.10,86,4096,112319.00,,INE193B01039,30-Oct-20,,
508941,PANASON CAR ,X ,Q,356.95,372.95,350.00,366.65,366.65,350.30,134,3495,1260037.00,,INE013E01017,30-Oct-20,,
508954,FINKURVE    ,X ,Q,45.15,45.15,45.15,45.15,45.15,43.00,3,61,2754.00,,INE734I01027,30-Oct-20,,
508961,SHRICON IND.,XT,Q,33.40,33.40,33.40,33.40,33.40,35.15,1,19,634.00,,INE753D01010,30-Oct-20,,
508969,SULABH ENG. ,X ,Q,2.25,2.25,2.05,2.25,2.25,2.15,48,26714,57260.00,,INE673M01029,30-Oct-20,,
508989,NAVNETEDUL  ,B ,Q,77.55,77.70,76.50,76.55,76.70,76.35,76,2626,201967.00,,INE060A01024,30-Oct-20,,
508996,SATPROP LTD ,XT,Q,1.13,1.13,1.13,1.13,1.13,1.08,3,902,1019.00,,INE086E01021,30-Oct-20,,
509009,AUSOM ENT   ,B ,Q,50.30,56.00,50.30,53.25,53.15,50.10,133,5383,288043.00,,INE218C01016,30-Oct-20,,
